Swiss German	Swiss German	probability
χː_tː	x_t	1.0
χː_sː	x_s	1.0
ˈɒ	ˈɑ	1.0
ˈøː_n	n_i	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	ˈe	1.0
ˈyə̯	ˈɔː	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈɔː	1.0
ˈo	ˈu	1.0
ˈeː	ˈɑi̯_w	1.0
ˈei̯	ˈi_j	1.0
ˈau̯	ˈɑu̯	1.0
ʦ	t	1.0
ʒ̊_tː	s_t	1.0
ʋ_ˈø	w	1.0
ʃː_tː	s_t	1.0
ɣ̊	k_ˈu	1.0
ə_r	i_z	1.0
ə_#>	n_ɑ̃_#>	1.0
æ	e_x	1.0
w	l	1.0
v̥	ɸ	1.0
r_n	r_n	1.0
r_#>	r_#>	1.0
p͡f	p	1.0
pː	-	1.0
m_ə	m_ɔːː	1.0
i_ɡ̊	ɑ_ɣ	1.0
h	x	1.0
fː_#>	ɸ_#>	1.0
<#_ˈɒ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈu	1.0
<#_ʦ	<#_t	1.0
<#_ɣ̊	<#_k	1.0
<#_tː	<#_d	1.0
<#_r	<#_r	1.0
<#_p͡f	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
<#_d̥	<#_θ	1.0
m	m	0.955
l	l	0.947
z̥	s	0.929
ʋ	w	0.926
ˈæi̯	ˈɑi̯	0.923
r	r	0.893
ˈu	ˈu	0.889
<#_ɡ̊	<#_ɣ	0.867
ˈi	ˈi	0.826
ˈiː	ˈiː	0.818
ŋ	ŋ	0.818
n	n	0.815
fː	p	0.8
tː	ð	0.76
ʃː	s_k	0.714
sː	t	0.65
b̥	b	0.633
ˈɒː	ˈɑ	0.625
ˈæ	ˈe	0.609
<#	<#_x	0.6
d̥	θ	0.591
ʒ̊	s	0.562
ˈy	ˈu	0.556
ɡ̊	ɣ	0.556
ˈoː	ˈɑu̯	0.538
ˈiə̯	-	0.5
ˈe	ˈɑ	0.5
ˈe	-	0.5
kː	ɣ_j	0.5
kː	k	0.5
ˈy	ˈi	0.444
ʒ̊	s_k	0.438
ə	ɑ_n	0.435
χː	k	0.429
#>	ɑ̃_#>	0.376
ˈɒː	ˈɛː	0.375
ˈyː	-	0.375
b̥	β	0.367
ɡ̊	ɣ_ɑ	0.333
d̥	d	0.318
ˈyː	ˈeu̯	0.312
ˈoː	ˈu	0.308
ˈæ	ˈɑ	0.304
#>	ɑ_z_#>	0.295
ʃː	i_s	0.286
ˈiə̯	ˈĩː	0.25
ˈiə̯	ˈeː	0.25
#>	z_#>	0.237
χː	k_s	0.214
χː	k_i	0.214
fː	ɸ	0.2
<#	<#_ˈɑ	0.2
<#	<#_ˈu	0.2
ˈyː	ˈiu̯	0.188
n	nː	0.185
ˈiː	ˈi	0.182
ŋ	n_d	0.182
ˈi	ˈe	0.174
tː	θ	0.16
ˈoː	ˈɛː	0.154
sː	t_ɑ	0.15
sː	t_s	0.15
ə	ɔː	0.145
χː	x	0.143
<#_ɡ̊	<#	0.133
ˈyː	ˈɔː	0.125
ˈu	-	0.111
ɡ̊	ɡ	0.111
d̥	-	0.091
ˈæ	-	0.087
ə	ɑ	0.087
tː	d	0.08
ˈæi̯	jː	0.077
ʋ	xʷ	0.074
ə	ɛː	0.072
ə	ɔ̃ː	0.072
z̥	s_ɑ̃	0.071
r	z	0.071
ə	-	0.058
l	lː_ɑ	0.053
