Ripuarian	Ripuarian	probability
ˈʏ	-	1.0
ˈɛ_d	ˈɪə̯	1.0
ˈɔː	ˈʊə̯_r	1.0
ˈøʏ̯	ˈi_t	1.0
ˈu	-	1.0
ˈoː_m	ˈʊə̯_m	1.0
ˈoː_d	ˈu	1.0
ˈoʊ̯	ˈʊə̯	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈa_ɫ	ˈœu̯	1.0
ʦ	t	1.0
ʋ_ˈe	v	1.0
ʋ	v	1.0
ɫ	ɫ	1.0
ɪ	ə	1.0
ɣ̊	χ	1.0
ɣ	χ	1.0
ə	-	1.0
ŋ_ə	n_d̥	1.0
z̥	s	1.0
z	s	1.0
v̥	v̥	1.0
v	v	1.0
t	t	1.0
p	p	1.0
l	ɫ	1.0
k_s	s	1.0
k_#>	χ_#>	1.0
k	k	1.0
h	ɦ	1.0
f_ə	p	1.0
e	i	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈʊ	<#_ˈɔ	1.0
<#_ʀ	<#_r	1.0
#>	v̥_#>	1.0
ʀ	r	0.913
m	m	0.909
s	t	0.875
f	v̥	0.871
d̥	d̥	0.87
ˈe	ˈə	0.867
j	χ	0.867
ˈɔ	ˈɔ	0.818
n	n	0.809
ˈa	ˈa	0.792
ʃ	s	0.75
ˈœ	ˈœ	0.667
ˈøː	ˈu	0.625
x	χ	0.625
ˈo	ˈɔ	0.615
ˈeɪ̯	ˈɪə̯	0.6
ˈaː	ˈa	0.583
ɡ̊	d̥	0.583
ˈeː	ˈi	0.579
ɕ	χ	0.556
ˈoː	ˈɑː	0.529
ɐ	r	0.516
ˈɪ	ˈə	0.5
ˈɛː	ˈɪə̯	0.5
ˈɛː	-	0.5
ɐ	ə_r	0.484
ˈoː	ˈu	0.471
ŋ	ŋ	0.462
ŋ	n	0.462
ɕ	k	0.444
ˈɔʊ̯	ˈʊə̯	0.429
ˈuː	ˈʊə̯	0.429
ˈuː	ˈœɪ̯	0.429
ˈiː	ˈəɪ̯	0.417
ˈaː	ˈɑː	0.417
ɡ̊	-	0.417
ˈeɪ̯	ˈəɪ̯	0.4
ˈo	-	0.385
ˈøː	-	0.375
ˈyː	ˈʊə̯	0.375
ˈyː	-	0.375
x	k	0.375
ˈœ	-	0.333
ˈɪ	-	0.3
ˈɛ	-	0.286
ˈɔʊ̯	ˈœɪ̯	0.286
ˈɔʊ̯	ˈœu̯	0.286
ˈyː	ˈyː	0.25
ˈiː	-	0.25
ʃ	s_k	0.25
ˈɛ	ˈɪə̯	0.214
ˈɛ	ˈa	0.214
ˈeː	ˈɪə̯	0.211
ˈɪ	ˈəɪ̯	0.2
ˈɔ	-	0.182
ˈiː	ˈɑː	0.167
ˈiː	ˈi	0.167
ˈɛ	ˈɛ	0.143
ˈɛ	ˈæː	0.143
ˈuː	-	0.143
ˈe	ˈæ	0.133
j	j	0.133
d̥	-	0.13
f	p	0.129
ˈa	ˈɑː	0.125
s	s	0.125
ˈeː	ˈəɪ̯	0.105
ˈeː	ˈə	0.105
m	ˈʊə̯_m	0.091
ʀ	r_ˈi	0.087
n	ə_ŋ	0.085
ˈa	ˈə	0.083
ŋ	n_d	0.077
n	-	0.064
