Yiddish	East Franconian	probability
ˈɪ_ʀ	ˈiː_ɐ	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈa_ʀ	ˈɛ_ɐ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ	1.0
ʀ_n	ɐ_n	1.0
ɫ_ˈɔ	l_ˈoː	1.0
ɫ	l	1.0
ɡ_n	ŋ	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_n	a	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	v	1.0
t_ə	ɾ	1.0
t	d̥	1.0
s_ə	z̥	1.0
s_t	ʃ_d̥	1.0
s_n	z̥_n	1.0
s	s	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
h	h	1.0
f_n	v̥_n	1.0
f	f	1.0
d_ʀ	d̥_r	1.0
d_ə	ɾ	1.0
d	d̥	1.0
b_n	m	1.0
a	a	1.0
n	n	0.921
ˈɛɪ̯	ˈaː	0.842
ˈa	ˈɒ	0.84
b	b̥	0.762
z	s	0.689
ˈɪ	ˈɪ	0.651
ˈʊ	ˈʊ	0.645
ˈɛ	ˈɛ	0.628
ʀ	ɐ	0.599
k	kʰ	0.541
ɡ	ɡ̊	0.522
ɪ	i	0.5
ɪ	-	0.5
p	b̥͡v̥	0.5
p	-	0.5
k	ɡ̊	0.459
ˈɔ	ˈoː	0.448
ˈɔ	ˈɔ	0.415
ʀ	r	0.401
χ	x	0.398
ˈɔɪ̯	ˈaʊ̯	0.35
ˈɪ	ˈiː	0.349
χ	ç	0.345
ˈɔɪ̯	ˈaː	0.336
ˈʊ	ˈuː	0.317
ˈɔɪ̯	ˈuː	0.314
z	z̥	0.311
χ	-	0.257
ɡ	a	0.256
b	β	0.238
ˈɛ	ˈeː	0.232
ɡ	ɣ̊	0.185
ˈɛɪ̯	ˈiː	0.158
ˈɔ	ˈɒ	0.077
ˈa	ˈa	0.074
ˈɛ	ˈɛː	0.07
ˈɛ	-	0.07
ˈa	-	0.066
ˈɔ	-	0.059
