American English	American English	probability
ˈɔ	-	1.0
ˈoʊ̯_ɫ	l	1.0
ˈi_#>	ˈiː_#>	1.0
ʧ	k	1.0
ʤ	-	1.0
ʃ_#>	ʃ_k_#>	1.0
ʃ	ʃ	1.0
ɾ	t	1.0
ɪ	ˈyː_k	1.0
ɚ	ɐ	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z	1.0
t_i	aɪ̯	1.0
t	t	1.0
s_l	ʃ_l	1.0
s_#>	z̥_#>	1.0
pʰ	-	1.0
p	p	1.0
oʊ̯	-	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
b	b	1.0
<#_ˈi	<#_ˈɔː	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#	<#_n	1.0
#>	ç_#>	1.0
f	f	0.958
n	n	0.889
ˈɛə̯	ˈa	0.833
ɡ	x	0.833
w	v	0.808
ɫ	l	0.739
ʔ	t	0.708
θ	d	0.706
ɹ	r	0.706
ˈæ	ˈa	0.7
ð	d	0.667
v	v	0.667
s	s	0.667
ˈu	-	0.625
ˈʊ	ˈʊ	0.6
ˈɝ	-	0.6
k	k	0.583
d	d̥	0.558
ˈɪ	ˈɪ	0.5
ˈaʊ̯	ˈuː	0.5
f_#>	l_ʋ_#>	0.5
f_#>	#>	0.5
ˈoʊ̯	ˈeː	0.462
ˈʌ	ˈʊ	0.455
ˈʊ	ˈoː	0.4
ˈɝ	ˈuːə̯	0.4
ˈɛ	-	0.385
ˈʌɪ̯	ˈiː	0.375
ˈʌɪ̯	-	0.375
ˈu	ˈoː	0.375
ˈaɪ̯	ˈɪ	0.333
ˈaɪ̯	ˈiː	0.333
ð	-	0.333
v	v_n	0.333
d	d	0.326
ˈɑ	ˈa	0.308
ˈɑ	-	0.308
ˈoʊ̯	-	0.308
ˈæ	-	0.3
ˈaʊ̯	ˈʊ	0.3
θ	d̥	0.294
s	ʃ	0.273
ˈi	ˈaɪ̯	0.267
ˈʌɪ̯	ˈɪ	0.25
k	k_n	0.25
ˈi	ˈøː	0.233
ˈɑ	ˈɔ	0.231
ʔ	t_n	0.208
ˈaʊ̯	-	0.2
w	ʋ	0.192
ɹ	ɐ	0.176
ˈɛə̯	ˈyə̯	0.167
ˈi	ˈɔː	0.167
ˈeɪ̯	ˈɛ	0.167
ˈeɪ̯	ˈɔː	0.167
ˈeɪ̯	ˈaː	0.167
ˈeɪ̯	ˈa_x	0.167
ˈeɪ̯	ˈa	0.167
ˈeɪ̯	-	0.167
ɡ	-	0.167
k	k_ə	0.167
ˈɪ	ˈʏ	0.154
ˈɛ	ˈɪɛ̯	0.154
ˈɛ	ˈɛ	0.154
ˈɛ	ˈaʊ̯	0.154
ˈɑ	ˈaː	0.154
ˈoʊ̯	ˈɔ	0.154
ˈʌ	ˈoː	0.136
ˈʌ	-	0.136
ˈi	ˈaʊ̯	0.133
ˈi	-	0.133
ɹ	-	0.118
ˈɪ	-	0.115
ˈaɪ̯	ˈyː	0.111
ˈaɪ̯	ˈaɪ̯_ɡ	0.111
ˈaɪ̯	-	0.111
ˈʌ	ˈuː	0.091
ˈʌ	ˈuə̯	0.091
ˈʌ	ˈa	0.091
ɫ	ˈɪɛ̯_l	0.087
ɫ	ɡ_l	0.087
ɫ	l_ə	0.087
ʔ	ç	0.083
ˈɪ	ˈɪə̯	0.077
ˈɪ	ˈɛ	0.077
ˈɪ	ˈiː	0.077
ˈɛ	ˈø	0.077
ˈɛ	ˈiɛ̯	0.077
ˈoʊ̯	ˈyːœ̯	0.077
d	d_n	0.07
ˈi	ˈiː	0.067
s	z	0.061
n	ˈɪə̯	0.056
n	n_n	0.056
