Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ_j̃	ˈu	1.0
ˈũ	ˈu	1.0
ˈõ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈa	ˈa	1.0
ʧ	t	1.0
ʤ	-	1.0
ɦ	r	1.0
ɡ_u_#>	k_#>	1.0
ɐ_#>	#>	1.0
ɐ	ə	1.0
v_i	w_ə	1.0
ũ	-	1.0
u_#>	#>	1.0
t	t	1.0
o	u	1.0
n	n	1.0
m	m	1.0
l_ɐ	ə	1.0
j_ʧ	p_t	1.0
j_ʃ_#>	j_#>	1.0
j_ʃ	ʦ	1.0
j_t	p_t	1.0
j	-	1.0
i_#>	#>	1.0
i	i	1.0
ẽ	-	1.0
e_ʃ	s	1.0
e	-	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
k	k	0.867
ɾ	r	0.842
l	l	0.812
w	-	0.714
u	u	0.692
ˈu	ˈu	0.667
p	p	0.667
j̃	n	0.667
<#_t	<#_t	0.667
ˈo	ˈo	0.65
s	s	0.647
ˈɔ	o̯ˈa	0.625
h	r_i	0.571
f	f	0.571
b	b	0.571
ʎ	k_ʎ	0.556
ˈɐ̃	ˈɔ	0.545
d	d	0.545
ˈɛ	ˈa	0.533
ˈẽ	ˈi_n	0.5
ˈe	ˈe	0.5
ʃ	s	0.5
ʃ	-	0.5
v	v	0.467
#>	ə_#>	0.467
d	t	0.455
ʎ	ʎ	0.444
h	r	0.429
f	-	0.429
b	p	0.429
ʒ	ʒ	0.4
ʒ	z	0.4
#>	i_#>	0.4
ˈɔ	ˈu	0.375
ˈɛ	ˈe	0.333
ˈu	ˈo	0.333
ɡ	ɡ	0.333
ɡ	m	0.333
ɡ	k	0.333
w̃	n	0.333
w̃	j_n	0.333
w̃	-	0.333
v	-	0.333
j̃	-	0.333
<#_t	<#	0.333
<#	<#_w	0.333
ˈe	e̯ˈa	0.312
w	r_i	0.286
ˈɐ̃	-	0.273
ˈo	ˈu	0.25
ˈẽ	ˈi	0.25
ˈẽ	-	0.25
<#	<#_ˈa	0.25
<#	<#_p	0.25
s	ʦ	0.235
ʒ	ʤ	0.2
ˈe	-	0.188
l	-	0.188
ˈɐ̃	ˈɔ_n	0.182
p	kʲ	0.167
p	-	0.167
<#	<#_n	0.167
ɾ	-	0.158
u	r	0.154
u	-	0.154
ˈɛ	e̯ˈa	0.133
v	b	0.133
k	ʦ	0.133
#>	n_#>	0.133
s	ʃ	0.118
ˈo	o̯ˈa	0.1
v	ɔ	0.067
