Scots	Scots	probability
θ	θ	1.0
ˈʌu̯	ˈu_l	1.0
ˈɪ_n	ˈi_n	1.0
ˈɛː	ˈe_ɣ	1.0
ˈɛ_s	ˈɑ_s	1.0
ˈɛ_l	ˈe_l	1.0
ˈɔɪ̯	ɣ_ɑ	1.0
ˈøː	ˈɔː_x	1.0
ˈu_m	mː	1.0
ˈoː	-	1.0
ˈo	ˈu	1.0
ˈeː_r	ˈɑ_r	1.0
ˈe_d	ˈɑu̯_ð	1.0
ˈaːɪ̯	ˈi_m	1.0
ˈaː	ˈe_k	1.0
ˈaɪ̯	-	1.0
ʤ	ɣ_j	1.0
ʍ	xʷ	1.0
ʃ	s_k	1.0
ɪ	iː_k	1.0
ɛ	e	1.0
ə_#>	ɑ_z_#>	1.0
ŋ	ŋ	1.0
ç	x	1.0
z	s	1.0
w	w	1.0
v	β	1.0
r_t	r_t	1.0
r_n	r_n	1.0
p	p	1.0
n_ˈe	n_ˈɑ	1.0
m	m	1.0
j	ɣ	1.0
i	-	1.0
h	x	1.0
f_#>	β_ɑ_z_#>	1.0
e	ɣ_ɑ̃	1.0
b	b	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ˈiː	<#_ˈɑu̯	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
l	l	0.939
ɡ	ɣ	0.933
f	ɸ	0.929
r	r	0.927
s	s	0.918
<#_kʰ	<#_k	0.818
ˈʌ	ˈu	0.75
ˈa	ˈɑ	0.75
t	t	0.739
ˈe	ˈɑi̯	0.733
n	n	0.727
k	k	0.7
<#	<#_x	0.625
ˈəi̯	ˈiː	0.615
ˈɑː	ˈɑ	0.615
x	x	0.6
ˈu	ˈuː	0.583
ð	θ	0.571
ˈø	ˈɔː	0.545
ˈeː	ˈɑ	0.538
#>	ɑ_z_#>	0.513
ə_r	r	0.5
ə_n	u_n	0.5
ə_n	n	0.5
ˈuː	ˈuː	0.429
ð	ð	0.429
ˈu	ˈu	0.417
x	ɣ_ɑ	0.4
d	ð	0.387
d	d	0.387
ˈɪ	ˈi	0.375
<#	<#_w	0.375
ˈɛ	ˈɑ	0.364
ə	ɛː	0.357
#>	ɑ_n_ɑ̃_#>	0.327
ˈuː	ˈuː_z	0.286
ˈuː	ˈu_lː	0.286
ˈɛ	ˈe	0.273
ˈø	-	0.273
ˈe	ˈɑ	0.267
ˈʌ	ˈe	0.25
ˈɪ	ˈu	0.25
ˈa	ˈe	0.25
ə_r	r_ɔː	0.25
ə_r	r_ɑ	0.25
ˈi	ˈɑu̯	0.233
ˈəi̯	-	0.231
ˈɑː	ˈɑ_l	0.231
ə	ɑ	0.214
ˈi	ˈɔː	0.2
ˈi	ˈeu̯	0.2
ˈɛ	ˈɑi̯	0.182
ˈɛ	-	0.182
ˈø	ˈɑ_n	0.182
<#_kʰ	<#	0.182
ˈi	ˈɛː	0.167
d	θ	0.161
ˈəi̯	ˈuː	0.154
ˈɑː	ˈɑi̯_w	0.154
ˈeː	ˈɑi̯	0.154
ˈeː	ˈɑ_ɣ	0.154
ˈeː	ˈe	0.154
ˈiː	ˈɑu̯	0.15
ˈiː	ˈeu̯_ɣ	0.15
ˈiː	j	0.15
ə	ɡ	0.143
ə	ɔː	0.143
ə	e	0.143
ˈɪ	ˈe	0.125
n	nː	0.121
t	t_s	0.109
t	t_i	0.109
ˈiː	ˈɑ	0.1
ˈiː	ˈi_j	0.1
ˈiː	ˈeu̯	0.1
ˈiː	ˈe_w	0.1
ˈiː	ˈe	0.1
ˈi	ˈe	0.1
ˈi	-	0.1
k	x	0.1
k	kʷ	0.1
k	k_i	0.1
n	u_n	0.091
ˈɪ	ˈɔː	0.075
ˈɪ	ˈɑ	0.075
f	β	0.071
ɡ	jː	0.067
d	θ_i	0.065
#>	ɔː_#>	0.062
n	n_d	0.061
l	ɣ_l	0.061
