Sassarese	Sassarese	probability
β_u	v_u	1.0
β_i	v_i	1.0
ˈɛ_rː	ˈɛ_h	1.0
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɬ	ˈɔ_h	1.0
ˈɔ_r	ˈo_h	1.0
ˈɔ_n	ˈõ	1.0
ˈɔ_d	ˈɔ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈĩ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	ʎ	1.0
ʧ	ʃ	1.0
ʤː	-	1.0
ʣ	j	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	-	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ɔ	ɐ̃_w̃	1.0
ŋ	-	1.0
z	z	1.0
xː	k	1.0
x	s_k	1.0
w	w	1.0
v	v	1.0
u_r	ʎ	1.0
u_n	õ	1.0
u_#>	#>	1.0
s	s	1.0
rː	ɦ_n	1.0
r_u	w	1.0
r_i	w	1.0
pː	ʃ_p	1.0
p_j	ʃ	1.0
nː	n	1.0
n_u	w̃	1.0
n_a	ɐ	1.0
mː	m	1.0
l	l	1.0
kː	k	1.0
k_a	k	1.0
k	k	1.0
j_#>	j_ʃ_#>	1.0
i_d	ˈe	1.0
i_#>	#>	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e	-	1.0
dː_u	u	1.0
bː	b	1.0
a_r	ɾ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ʦ	<#_s	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_n	<#_n	1.0
<#_i	<#_e	1.0
<#_d	<#_d	1.0
p	p	0.903
m	m	0.864
#>	h_#>	0.857
ʤ	ʒ	0.8
ɲː	j̃	0.75
ˈa	ˈa	0.729
ʦː	s	0.714
sː	s	0.714
b	b	0.714
u	u	0.702
a	ɐ	0.679
t	t	0.652
β	v	0.625
ɬ	ʃ	0.625
ˈe	ˈe	0.607
<#	<#_o	0.6
r	ɾ	0.583
ˈi	ˈi	0.559
dː	d	0.55
d	-	0.545
ˈu	ˈu	0.5
ʦ	j_ʃ	0.5
d	d	0.455
dː	l	0.45
ˈo	ˈo	0.435
j	-	0.429
i	i	0.414
<#	<#_e	0.4
ˈe	ˈɛ	0.393
β	b	0.375
ɬ	-	0.375
ˈɔ	ˈo	0.364
j	j	0.357
ˈɛ	ˈe	0.348
t	ʧ	0.348
n	-	0.346
tː	t	0.308
tː	j_t	0.308
ˈɛ	ˈɛ	0.304
ʦː	w_s	0.286
sː	-	0.286
b	v	0.286
ˈɔ	ˈɔ	0.273
ˈo	ˈɔ	0.261
ˈu	ˈũ	0.25
ɲː	ʒ	0.25
tː	ʧ	0.231
r	-	0.229
ˈɛ	ˈẽ	0.217
ˈo	-	0.217
j	ɦ	0.214
ʤ	-	0.2
n	j̃	0.192
a	a	0.192
ˈi	ˈĩ	0.176
i	e	0.172
ʦ	ʃ	0.167
ʦ	z	0.167
ʦ	s	0.167
i	-	0.155
tː	d	0.154
ˈu	ˈo	0.15
#>	ʃ_#>	0.143
ˈa	ˈɐ̃	0.136
ˈɛ	ˈe_j	0.13
r	h	0.125
ˈɔ	ˈõ	0.121
ˈi	ˈe_h	0.118
n	ˈɐ̃	0.115
n	j	0.115
i	u	0.103
a	-	0.103
ˈu	-	0.1
p	b	0.097
u	i	0.096
m	-	0.091
ˈi	h	0.088
ˈo	ˈõ	0.087
u	o	0.087
i	w̃	0.086
n	ˈõ	0.077
n	ɐ	0.077
n	n	0.077
r	l	0.062
ˈɔ	ˈu	0.061
ˈɔ	ˈo_j	0.061
ˈɔ	ˈo_h	0.061
ˈɔ	-	0.061
ˈi	ˈe	0.059
ˈa	a	0.051
ˈa	-	0.051
