Ukrainian	Slovak	probability
ˈɛ_r	ˈr̩	1.0
ˈɔ_ʍ	ˈɫ̩	1.0
ˈɔ_ʋ	ˈɫ̩	1.0
ˈɔ_#>	ɔ_#>	1.0
ˈi_ɦ	ˈɔ_x	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʋʲ	ʋ	1.0
ʋ_e	v	1.0
ʋ	ʋ	1.0
ʊ	ˈu	1.0
ʃ	ʃ	1.0
ɛ_#>	ɛ_#>	1.0
ɛ	ˈɛ	1.0
ɔ_ɫ	ɫ	1.0
ɔ_r	r	1.0
ɔ_#>	ɔ_#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	ʋ	1.0
tʲ	c	1.0
t_e	c	1.0
t_#>	t_#>	1.0
sʲ	s	1.0
s_#>	s_#>	1.0
s	s	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	ɲ	1.0
n_e	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
k_e	k	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɑ	ˈæ	1.0
e	-	1.0
bʲ	b	1.0
b_#>	p_#>	1.0
b	b	1.0
<#_x	<#_x	1.0
<#_w	<#	1.0
<#_t	<#_c	1.0
<#_nʲ	<#_n	1.0
ɦ	ɦ	0.857
r	r	0.857
t	t	0.833
ˈɛ	ˈɛ	0.75
j	iː	0.733
ɐ	a	0.7
ˈɑ	a	0.688
d	d	0.65
e_j	iː	0.625
ˈu	ˈu	0.6
i	ɪ̯ˈɛ	0.6
ˈɪ	ˈi	0.588
ʧ	ʧ	0.5
ʧ	c	0.5
ʒ	ʒ	0.5
ʒ	ʃ	0.5
ɫ	ɫ	0.5
ɔ	ˈɔ	0.5
lʲ	ʎ	0.5
ˈɔ	ˈɔ	0.4
ˈu	ˈuː	0.4
i	ɛ	0.4
ˈi	ˈɛ	0.379
ɫ	l	0.375
e_j	i	0.375
ˈɑ	ˈa	0.312
ɐ	ˈa	0.3
lʲ	l	0.3
ˈɪ	-	0.294
ˈɔ	ˈa	0.267
ˈɛ	-	0.25
ɔ	ˈa	0.214
ˈɔ	-	0.2
lʲ	ɫ	0.2
d	ɟ	0.2
ˈi	ˈɔ	0.172
t	c	0.167
d	t	0.15
ɦ	x	0.143
ɔ	ɪ̯ˈɛ	0.143
ɔ	-	0.143
r	ˈr̩	0.143
ˈi	ɪ̯ˈɛ	0.138
ˈi	ɛ	0.138
ˈɔ	ˈaː	0.133
j	j	0.133
j	-	0.133
ɫ	d_ɫ	0.125
ˈɪ	i	0.118
ˈi	ˈa	0.103
ˈi	ʊ̯ˈɔ	0.069
