Luxembourgish	Luxembourgish	probability
ˈʊ	ˈʊː	1.0
ˈə_n	n	1.0
ˈə_l	ˈɛː_l	1.0
ˈɑ_l	ˈaː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ_n	n	1.0
ˈæ	-	1.0
ˈuː	ˈœː	1.0
ˈoː_ə	ˈʊː	1.0
ˈiə̯_d	ˈeː	1.0
ˈiə̯	ˈeː	1.0
ˈaː_s	ˈaː_t	1.0
ʦ	t	1.0
ʑ	ɣ	1.0
ʃ_t	s	1.0
ʀ_ˈə	ʀ	1.0
ʀ_#>	ʀ_ə_#>	1.0
ʀ	ʀ	1.0
ɡ̊	k	1.0
ɡ	ɣ	1.0
ə_f	ə_v̥	1.0
ɕ_t	x	1.0
z	z	1.0
w	β	1.0
v̥	v̥	1.0
tʰ	t	1.0
s	t	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
kʰ	k	1.0
j	j	1.0
h	ɦ	1.0
e	i	1.0
b	b	1.0
d	d	0.935
d̥	d̥	0.923
l	l	0.918
ə	ə	0.863
m	m	0.857
z̥	z̥	0.818
v	β	0.808
k	k	0.8
ˈoː	ˈɒː	0.75
ŋ	ŋ	0.733
n	n	0.722
f	v	0.719
t	t	0.692
χ	k	0.667
ˈɔ	ˈʊː	0.667
ˈɑɪ̯	-	0.667
ˈeː	ˈɛː	0.667
ˈɑʊ̯	ˈɔu̯	0.6
ɐ	ʀ	0.595
ʃ	s	0.567
ˈæːɪ̯	ˈiː	0.538
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈɛ	ˈeː	0.5
ˈɛ	-	0.5
ˈi	ˈøː	0.5
ˈi	-	0.5
#>	ɣ̊_#>	0.5
#>	j_#>	0.5
ɕ	k	0.471
ˈəʊ̯	ˈu	0.455
ˈe	ˈœ	0.444
ˈɑ	ˈɪː	0.409
ˈɑʊ̯	ˈuː	0.4
ˈu	ˈoː	0.4
ˈu	-	0.4
ˈiː	ˈeː	0.385
ˈəʊ̯	-	0.364
ɕ	ɣ̊	0.353
ˈaː	ˈɑ	0.345
χ	-	0.333
ˈɔ	ˈʊ	0.333
ˈɑɪ̯	ˈœi̯	0.333
ˈuə̯	ˈɒː	0.333
ˈuə̯	ˈɑ	0.333
ˈuə̯	-	0.333
ˈo	ˈʊː	0.333
ˈo	ˈɔ	0.333
ˈe	-	0.333
ˈɜɪ̯	ˈeː	0.318
ɐ	ə_ʀ	0.31
ˈæːɪ̯	-	0.308
t	d̥	0.308
f	p	0.281
ˈaː	ˈaː	0.276
ˈɜɪ̯	ˈi	0.273
ˈə	ˈɪ	0.273
ʃ	ʃ	0.267
ŋ	n	0.267
ˈoː	-	0.25
ˈɑ	ˈɑː	0.227
ˈo	ˈɔː	0.222
ˈe	ˈɪː	0.222
ˈu	ˈʊː	0.2
k	-	0.2
ˈəʊ̯	ˈoː	0.182
ˈə	ˈʏː	0.182
ˈə	ˈɛ	0.182
ˈə	ˈi	0.182
ˈə	-	0.182
ˈɑ	ˈaː	0.182
ˈɑ	-	0.182
z̥	-	0.182
ɕ	x	0.176
ʃ	z	0.167
ˈæːɪ̯	ˈɛːi̯	0.154
ˈiː	ˈøː	0.154
ˈiː	ˈæ	0.154
ˈiː	ʀ	0.154
ˈiː	-	0.154
m	ə_m	0.143
ˈaː	ˈɔː	0.138
ˈɜɪ̯	-	0.136
n	ə	0.13
v	v	0.115
ˈo	-	0.111
ˈeː	ˈɛːi̯	0.111
ˈeː	ˈeː	0.111
ˈeː	-	0.111
n	n_d	0.111
ˈaː	ˈʊː	0.103
ə	-	0.098
ɐ	ə	0.095
ˈɜɪ̯	ˈyː	0.091
ˈɜɪ̯	ˈu	0.091
ˈɜɪ̯	ˈeː_ɣ	0.091
v	v_ə	0.077
d̥	-	0.077
ˈaː	ˈɑː	0.069
ˈaː	ˈæː	0.069
d	d_ˈɔ	0.065
l	j	0.061
