Westphalian	Westphalian	probability
ˈʏ	ˈɪ	1.0
ˈʊ_l	ˈuː	1.0
ˈɪɛ̯_ŋ	ˈɛː	1.0
ˈɪə̯	-	1.0
ˈɪ_k	ˈaː	1.0
ˈɛː	-	1.0
ˈɔː_n	ˈeː	1.0
ˈɒː	ˈeː	1.0
ˈœː	-	1.0
ˈøː	ˈi	1.0
ˈø	-	1.0
ˈyːœ̯	ˈʌu̯	1.0
ˈyː	-	1.0
ˈyə̯	ˈa	1.0
ˈuə̯	-	1.0
ˈiː_#>	#>	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯_ɡ	ˈiː	1.0
ˈaɪ̯_v	ˈi_f	1.0
ʋ	w	1.0
ɡ_l	l	1.0
ɡ	-	1.0
ə	-	1.0
ŋ	ŋ	1.0
ç	-	1.0
z̥	s	1.0
v̥	f	1.0
t_n	t	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
n_ˈɪə̯	n	1.0
m	m	1.0
l_ʋ_#>	f_#>	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d_r	d_r	1.0
d_n	d	1.0
b	b	1.0
aɪ̯	i	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
l	l	0.919
d̥	d	0.846
ˈɪ	ˈɪ	0.818
ˈeː	ˈe	0.667
ɪ_ç	i	0.667
z	z	0.667
ɐ	ə_r	0.656
ˈaɪ̯	ˈiː	0.636
ˈʊ	ˈʌ	0.615
ˈiː	ˈəi̯	0.615
ˈɔ	ˈɑː	0.6
ˈuːə̯	r	0.6
n	n	0.589
v	w	0.56
ˈɛ	-	0.556
x	ɡ	0.55
ˈaː	ˈeː	0.5
ˈaː	ˈe	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
n_n	n_d	0.5
n_n	n	0.5
k	k	0.48
ˈaʊ̯	-	0.455
ˈɛ	ˈɛ	0.444
ˈɔː	ˈi	0.444
ˈuː	ˈuː	0.444
ˈoː	ˈø	0.444
ˈɪɛ̯	ˈɛ	0.4
ˈɪɛ̯	-	0.4
ˈɔ	ˈo	0.4
ˈuːə̯	ˈɪ	0.4
ˈʊ	ˈu	0.385
d	θ	0.375
d	d	0.375
ˈaʊ̯	ˈi	0.364
ˈaɪ̯	-	0.364
ˈɔː	-	0.333
ˈuː	ˈu	0.333
ˈoː	ˈɪ	0.333
ˈeː	-	0.333
ɪ_ç	e	0.333
z	s	0.333
n	-	0.321
ˈiː	ˈiː	0.308
ɐ	r	0.281
ˈa	ˈɑː	0.28
k	kʰ	0.28
ˈa	ˈa	0.24
v	-	0.24
k	-	0.24
ˈɔː	ˈiː	0.222
ˈuː	-	0.222
ˈoː	-	0.222
ˈɪɛ̯	ˈɪ	0.2
ˈɪ	-	0.182
ˈaʊ̯	ˈe	0.182
d	ð	0.167
ˈa	ˈɛ	0.16
d̥	θ	0.154
x	ç	0.15
x	x	0.15
x	-	0.15
ˈa	ˈɪ	0.12
ˈa	ˈeː	0.12
v	w_ˈɪ	0.12
d	θ_r	0.083
l	-	0.081
ˈa	ˈe	0.08
v	ʍ	0.08
ˈiː	ˈaːɪ̯	0.077
ɐ	ˈiː_r	0.062
n	ə_n	0.054
